,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9518072289156626,0.7777777777777778,0.8709677419354839,0.92018779342723,0.8668509162096414,0.9201588016967663
recall,0.948948948948949,0.765625,0.9310344827586207,0.92018779342723,0.8818694772358565,0.92018779342723
f1-score,0.9503759398496241,0.7716535433070866,0.9,0.92018779342723,0.8740098277189036,0.9200962787360996
support,333.0,64.0,29.0,0.92018779342723,426.0,426.0
